AP,ODS,ODS_threshold,OIS,dataset,gt_threshold,match_tolerance,metric_backend,mode,n_images,n_matched,orientation,precision_at_ODS,pred_edge_density_at_0_5,recall_at_ODS,skipped_dense_orientation,source,thresholds
0.8762323878261942,0.8442886061942168,0.44,0.863546605915289,BIPED,0.0,0.0075,dilation,plain_identity,50,50,as_is,0.8474594623130548,0.03883617621527778,0.8411413897889146,False,NYUDv2_strict,99
0.8642149506339376,0.8396401873025332,0.4,0.859660278446664,BIPED,0.0,0.0075,dilation,main_surround,50,50,as_is,0.8418356524295618,0.043085004340277774,0.8374561437144117,False,NYUDv2_strict,99
0.8753295250879244,0.8434739371152311,0.44,0.863012244380216,BIPED,0.0,0.0075,dilation,no_surround,50,50,as_is,0.8464844685542325,0.038950911458333334,0.8404847437642593,False,NYUDv2_strict,99
0.8770511634119454,0.8411334876057048,0.48000000000000004,0.8623271934928612,BIPED,0.0,0.0075,dilation,conv_control,50,50,as_is,0.8465340988581986,0.039898546006944445,0.8358013478019134,False,NYUDv2_strict,99
0.8151054114553618,0.7781711382650853,0.78,0.7670981034395803,Multicue,0.3,0.0075,dilation,plain_identity,20,20,as_is,0.7525254850312345,0.04961583116319444,0.8056264428361166,False,NYUDv2_strict,99
0.8202238793461087,0.7726184433627559,0.75,0.766179009871365,Multicue,0.3,0.0075,dilation,main_surround,20,20,as_is,0.7494684078422983,0.059283203125,0.7972442067871771,False,NYUDv2_strict,99
0.81488352469483,0.777499882742304,0.79,0.766877025326888,Multicue,0.3,0.0075,dilation,no_surround,20,20,as_is,0.7595211040158873,0.050433376736111105,0.7963504565732475,False,NYUDv2_strict,99
0.8157120746159394,0.7767404108765431,0.76,0.7685559166487617,Multicue,0.3,0.0075,dilation,conv_control,20,20,as_is,0.7543288597961694,0.053520399305555556,0.8005244602319187,False,NYUDv2_strict,99
0.8577452355991045,0.8330947565168239,0.7100000000000001,0.8438443155655919,NYUDv2,0.0,0.011,dilation,plain_identity,654,654,as_is,0.7710712554103459,0.0438919848209735,0.9059691902047954,False,NYUDv2_strict,99
0.8722952555729601,0.8429384895477409,0.73,0.8538087480322882,NYUDv2,0.0,0.011,dilation,main_surround,654,654,as_is,0.7860901694098996,0.05993145148445464,0.9086500736513583,False,NYUDv2_strict,99
0.8600615250564633,0.8340619402122784,0.72,0.8450059188395544,NYUDv2,0.0,0.011,dilation,no_surround,654,654,as_is,0.7730514495672499,0.04592998415201325,0.9055276720119205,False,NYUDv2_strict,99
0.8617716399061269,0.8350384840533716,0.7100000000000001,0.8461973194940798,NYUDv2,0.0,0.011,dilation,conv_control,654,654,as_is,0.7750625647707058,0.0496812135655581,0.9050750328177859,False,NYUDv2_strict,99
0.6854617999780546,0.6797060743724705,0.66,0.6925340814581767,BSDS500,0.0,0.0075,dilation,plain_identity,200,200,as_is,0.6406350561193053,0.04536457017765429,0.7238523443735766,False,NYUDv2_strict,99
0.6965276725273489,0.684916417131924,0.65,0.6989203686392981,BSDS500,0.0,0.0075,dilation,main_surround,200,200,as_is,0.6465203376822717,0.05247372102512289,0.7281610415858115,False,NYUDv2_strict,99
0.6885292643193308,0.6805296422702406,0.64,0.6937782779639438,BSDS500,0.0,0.0075,dilation,no_surround,200,200,as_is,0.6363994840914505,0.046034805474057805,0.7312361020593972,False,NYUDv2_strict,99
0.6905931272081187,0.680804336847491,0.65,0.6947396110891774,BSDS500,0.0,0.0075,dilation,conv_control,200,200,as_is,0.6402600033960565,0.04822449336468027,0.726830744746548,False,NYUDv2_strict,99
0.8252192636919398,0.7872079278796764,0.17,0.8092540682462293,UDED,0.0,0.0075,dilation,plain_identity,30,30,as_is,0.8123069947860255,0.04035160881596194,0.7636134193671278,False,NYUDv2_strict,99
0.8323128067782609,0.7928191562961385,0.12,0.8189914731042549,UDED,0.0,0.0075,dilation,main_surround,30,30,as_is,0.8060676851315544,0.04808325895335131,0.7799990908874453,False,NYUDv2_strict,99
0.8259751350953531,0.787695754855947,0.16,0.8101383690418716,UDED,0.0,0.0075,dilation,no_surround,30,30,as_is,0.8094057042403527,0.04106306897729987,0.7671199963635498,False,NYUDv2_strict,99
0.8302638681863372,0.7874014563770045,0.18000000000000002,0.8133719465194161,UDED,0.0,0.0075,dilation,conv_control,30,30,as_is,0.8059218728355728,0.043090224663053865,0.7697131316979409,False,NYUDv2_strict,99
