training_source,target_dataset,mode,ODS,OIS,AP,n_images,thresholds,protocol,source_file
NYUDv2,BIPED,plain_identity,0.8442886061942168,0.863546605915289,0.8762323878261942,50,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BIPED,main_surround,0.8396401873025332,0.859660278446664,0.8642149506339376,50,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BIPED,no_surround,0.8434739371152311,0.863012244380216,0.8753295250879244,50,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BIPED,conv_control,0.8411334876057048,0.8623271934928612,0.8770511634119454,50,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,Multicue,plain_identity,0.7781711382650853,0.7670981034395803,0.8151054114553618,20,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,Multicue,main_surround,0.7726184433627559,0.766179009871365,0.8202238793461087,20,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,Multicue,no_surround,0.777499882742304,0.766877025326888,0.81488352469483,20,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,Multicue,conv_control,0.7767404108765431,0.7685559166487617,0.8157120746159394,20,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,NYUDv2,plain_identity,0.8330947565168239,0.8438443155655919,0.8577452355991045,654,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,NYUDv2,main_surround,0.8429384895477409,0.8538087480322882,0.8722952555729601,654,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,NYUDv2,no_surround,0.8340619402122784,0.8450059188395544,0.8600615250564633,654,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,NYUDv2,conv_control,0.8350384840533716,0.8461973194940798,0.8617716399061269,654,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BSDS500,plain_identity,0.6797060743724705,0.6925340814581767,0.6854617999780546,200,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BSDS500,main_surround,0.684916417131924,0.6989203686392981,0.6965276725273489,200,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BSDS500,no_surround,0.6805296422702406,0.6937782779639438,0.6885292643193308,200,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,BSDS500,conv_control,0.680804336847491,0.6947396110891774,0.6905931272081187,200,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,UDED,plain_identity,0.7872079278796764,0.8092540682462293,0.8252192636919398,30,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,UDED,main_surround,0.7928191562961385,0.8189914731042549,0.8323128067782609,30,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,UDED,no_surround,0.787695754855947,0.8101383690418716,0.8259751350953531,30,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
NYUDv2,UDED,conv_control,0.7874014563770045,0.8133719465194161,0.8302638681863372,30,99,Strict NYUDv2 epoch-9 checkpoint and validation-selected candidate frozen across all targets,weights/rbcm/nyudv2/main/generalization_summary.csv
