dataset,mode,ODS,OIS,AP,n_images,n_runs,thresholds,protocol,source_file
BIPED,plain_identity,0.9296004077033811,0.931316793308184,0.9637789889154825,50,3,49,Three fixed 170/30/50 splits; mean and sample SD,paper_assets/rbcm/tables/two_dataset_core/01_biped_stability.csv
BIPED,main_surround,0.942560870114838,0.944224850537475,0.9724081033745153,50,3,49,Three fixed 170/30/50 splits; mean and sample SD,paper_assets/rbcm/tables/two_dataset_core/01_biped_stability.csv
BIPED,no_surround,0.931541501998538,0.9333352218918534,0.9657306478333315,50,3,49,Three fixed 170/30/50 splits; mean and sample SD,paper_assets/rbcm/tables/two_dataset_core/01_biped_stability.csv
BIPED,conv_control,0.9347534262064076,0.9365308307069362,0.9675617432513398,50,3,49,Three fixed 170/30/50 splits; mean and sample SD,paper_assets/rbcm/tables/two_dataset_core/01_biped_stability.csv
Multicue,main_surround,0.9018882341467914,0.899279721105664,0.9229100204862167,20,1,99,Strict 68-source train / 12 validation / 20 held-out test; checkpoint and candidates frozen before the test set was read,weights/rbcm/multicue/main/formal_summary.json
Multicue,plain_identity,0.8788647144004923,0.8798791332093077,0.9293709341674031,20,1,99,Strict 68-source train / 12 validation / 20 held-out test; checkpoint and candidates frozen before the test set was read,weights/rbcm/multicue/main/formal_summary.json
Multicue,no_surround,0.8778576091769896,0.8797780970485242,0.9302036949239376,20,1,99,Strict 68-source train / 12 validation / 20 held-out test; checkpoint and candidates frozen before the test set was read,weights/rbcm/multicue/main/formal_summary.json
Multicue,conv_control,0.8796738672018256,0.8817182335126222,0.9321393676956079,20,1,99,Strict 68-source train / 12 validation / 20 held-out test; checkpoint and candidates frozen before the test set was read,weights/rbcm/multicue/main/formal_summary.json
NYUDv2,plain_identity,0.831987802949187,0.843523108284139,0.8595542256599077,654,1,99,Strict 381-source train / 414 validation / 654 test; checkpoint and candidates selected on validation only,weights/rbcm/nyudv2/main/formal_summary.json
NYUDv2,main_surround,0.8424691216233738,0.8534679152481529,0.8725879349156741,654,1,99,Strict 381-source train / 414 validation / 654 test; checkpoint and candidates selected on validation only,weights/rbcm/nyudv2/main/formal_summary.json
NYUDv2,no_surround,0.833153376691595,0.8449479777724369,0.8618322759037989,654,1,99,Strict 381-source train / 414 validation / 654 test; checkpoint and candidates selected on validation only,weights/rbcm/nyudv2/main/formal_summary.json
NYUDv2,conv_control,0.8342454796051046,0.8461077356519296,0.8631612111667274,654,1,99,Strict 381-source train / 414 validation / 654 test; checkpoint and candidates selected on validation only,weights/rbcm/nyudv2/main/formal_summary.json
